scene,operator,contrast_loss,clipping,entropy,DR,log_std,highlight_ratio,shadow_ratio,skew,kurtosis
507,reinhard,0.366315096616745,0.07325008511543274,7.727551460266113,2.9695687294006348,0.634244441986084,0.10026813298463821,0.00016279684496112168,2.9708762168884277,13.100484848022461
507,drago,0.21799352765083313,0.0018707860726863146,6.964257717132568,2.9695687294006348,0.634244441986084,0.10026813298463821,0.00016279684496112168,2.9708762168884277,13.100484848022461
507,filmic,0.23474326729774475,3.4851331292884424e-05,7.549335479736328,2.9695687294006348,0.634244441986084,0.10026813298463821,0.00016279684496112168,2.9708762168884277,13.100484848022461
507,gamma,0.5074142813682556,0.5932680368423462,4.1348419189453125,2.9695687294006348,0.634244441986084,0.10026813298463821,0.00016279684496112168,2.9708762168884277,13.100484848022461
507,reinhard_local,0.36332881450653076,0.07921160757541656,7.802289962768555,2.9695687294006348,0.634244441986084,0.10026813298463821,0.00016279684496112168,2.9708762168884277,13.100484848022461
Ahwahnee Great Lounge,reinhard,0.11066588759422302,0.017797358334064484,6.440423011779785,3.5175390243530273,0.48322978615760803,0.5104187726974487,0.0003895330592058599,17.057947158813477,372.3379821777344
Ahwahnee Great Lounge,drago,0.05786079168319702,0.002521937247365713,4.320700168609619,3.5175390243530273,0.48322978615760803,0.5104187726974487,0.0003895330592058599,17.057947158813477,372.3379821777344
Ahwahnee Great Lounge,filmic,0.06012076139450073,0.0002391076268395409,4.955974102020264,3.5175390243530273,0.48322978615760803,0.5104187726974487,0.0003895330592058599,17.057947158813477,372.3379821777344
Ahwahnee Great Lounge,gamma,0.29264605045318604,0.055201757699251175,7.241080284118652,3.5175390243530273,0.48322978615760803,0.5104187726974487,0.0003895330592058599,17.057947158813477,372.3379821777344
Ahwahnee Great Lounge,reinhard_local,0.11084035038948059,0.017611322924494743,6.441768646240234,3.5175390243530273,0.48322978615760803,0.5104187726974487,0.0003895330592058599,17.057947158813477,372.3379821777344
Air Bellows Gap,reinhard,0.6258350610733032,0.15898457169532776,6.855429649353027,3.248297691345215,0.9340153336524963,0.10180021077394485,9.491318633081391e-05,3.434669256210327,23.747426986694336
Air Bellows Gap,drago,0.37748557329177856,0.025593221187591553,6.320013999938965,3.248297691345215,0.9340153336524963,0.10180021077394485,9.491318633081391e-05,3.434669256210327,23.747426986694336
Air Bellows Gap,filmic,0.4238196611404419,0.00037228662404231727,6.672931671142578,3.248297691345215,0.9340153336524963,0.10180021077394485,9.491318633081391e-05,3.434669256210327,23.747426986694336
Air Bellows Gap,gamma,0.7980151176452637,0.4882964789867401,4.80274772644043,3.248297691345215,0.9340153336524963,0.10180021077394485,9.491318633081391e-05,3.434669256210327,23.747426986694336
Air Bellows Gap,reinhard_local,0.6244487762451172,0.1609327495098114,6.977260112762451,3.248297691345215,0.9340153336524963,0.10180021077394485,9.491318633081391e-05,3.434669256210327,23.747426986694336
Amikeus Beaver Dam (PM1),reinhard,0.2850240170955658,0.033843040466308594,7.310824394226074,3.3751442432403564,0.597711443901062,0.2029888778924942,0.00014134905359242111,4.446053504943848,24.18546485900879
Amikeus Beaver Dam (PM1),drago,0.17073562741279602,0.014215245842933655,5.879767417907715,3.3751442432403564,0.597711443901062,0.2029888778924942,0.00014134905359242111,4.446053504943848,24.18546485900879
Amikeus Beaver Dam (PM1),filmic,0.1797446608543396,9.018759010359645e-05,6.3350605964660645,3.3751442432403564,0.597711443901062,0.2029888778924942,0.00014134905359242111,4.446053504943848,24.18546485900879
Amikeus Beaver Dam (PM1),gamma,0.4329172372817993,0.13379120826721191,7.216386318206787,3.3751442432403564,0.597711443901062,0.2029888778924942,0.00014134905359242111,4.446053504943848,24.18546485900879
Amikeus Beaver Dam (PM1),reinhard_local,0.28185757994651794,0.03968873992562294,7.3535003662109375,3.3751442432403564,0.597711443901062,0.2029888778924942,0.00014134905359242111,4.446053504943848,24.18546485900879
Amikeus Beaver Dam (PM2),reinhard,0.2642866373062134,0.038155604153871536,7.04067325592041,3.2216033935546875,0.6144143342971802,0.16249710321426392,0.00013440512702800333,3.8407938480377197,16.707563400268555
Amikeus Beaver Dam (PM2),drago,0.15685245394706726,0.024040140211582184,5.666129112243652,3.2216033935546875,0.6144143342971802,0.16249710321426392,0.00013440512702800333,3.8407938480377197,16.707563400268555
Amikeus Beaver Dam (PM2),filmic,0.16032201051712036,0.0006604502559639513,5.8330254554748535,3.2216033935546875,0.6144143342971802,0.16249710321426392,0.00013440512702800333,3.8407938480377197,16.707563400268555
Amikeus Beaver Dam (PM2),gamma,0.436635822057724,0.1124303936958313,7.089095592498779,3.2216033935546875,0.6144143342971802,0.16249710321426392,0.00013440512702800333,3.8407938480377197,16.707563400268555
Amikeus Beaver Dam (PM2),reinhard_local,0.26411211490631104,0.04190237820148468,7.066227912902832,3.2216033935546875,0.6144143342971802,0.16249710321426392,0.00013440512702800333,3.8407938480377197,16.707563400268555
Artist Palette,reinhard,0.15774795413017273,0.33127671480178833,4.986588001251221,1.0998436212539673,0.1808806210756302,0.02011241763830185,0.0022575687617063522,0.23962076008319855,2.5371758937835693
Artist Palette,drago,0.10391499102115631,0.16634660959243774,6.489392280578613,1.0998436212539673,0.1808806210756302,0.02011241763830185,0.0022575687617063522,0.23962076008319855,2.5371758937835693
Artist Palette,filmic,0.1158478707075119,0.0,6.235705852508545,1.0998436212539673,0.1808806210756302,0.02011241763830185,0.0022575687617063522,0.23962076008319855,2.5371758937835693
