scene,operator,clipping,contrast_loss,entropy,DR
507,reinhard,0.07325008511543274,0.366315096616745,7.727551460266113,2.9695687294006348
507,drago,0.0018707860726863146,0.21799352765083313,6.964257717132568,2.9695687294006348
507,filmic,3.4851331292884424e-05,0.23474326729774475,7.549335479736328,2.9695687294006348
507,gamma,0.5932680368423462,0.5074142813682556,4.1348419189453125,2.9695687294006348
Ahwahnee Great Lounge,reinhard,0.017797358334064484,0.11066588759422302,6.440423011779785,3.5175390243530273
Ahwahnee Great Lounge,drago,0.002521937247365713,0.05786079168319702,4.320700168609619,3.5175390243530273
Ahwahnee Great Lounge,filmic,0.0002391076268395409,0.06012076139450073,4.955974102020264,3.5175390243530273
Ahwahnee Great Lounge,gamma,0.055201757699251175,0.29264605045318604,7.241080284118652,3.5175390243530273
Air Bellows Gap,reinhard,0.15898457169532776,0.6258350610733032,6.855429649353027,3.248297691345215
Air Bellows Gap,drago,0.025593221187591553,0.37748557329177856,6.320013999938965,3.248297691345215
Air Bellows Gap,filmic,0.00037228662404231727,0.4238196611404419,6.672931671142578,3.248297691345215
Air Bellows Gap,gamma,0.4882964789867401,0.7980151176452637,4.80274772644043,3.248297691345215
Amikeus Beaver Dam (PM1),reinhard,0.033843040466308594,0.2850240170955658,7.310824394226074,3.3751442432403564
Amikeus Beaver Dam (PM1),drago,0.014215245842933655,0.17073562741279602,5.879767417907715,3.3751442432403564
Amikeus Beaver Dam (PM1),filmic,9.018759010359645e-05,0.1797446608543396,6.3350605964660645,3.3751442432403564
Amikeus Beaver Dam (PM1),gamma,0.13379120826721191,0.4329172372817993,7.216386318206787,3.3751442432403564
Amikeus Beaver Dam (PM2),reinhard,0.038155604153871536,0.2642866373062134,7.04067325592041,3.2216033935546875
Amikeus Beaver Dam (PM2),drago,0.024040140211582184,0.15685245394706726,5.666129112243652,3.2216033935546875
Amikeus Beaver Dam (PM2),filmic,0.0006604502559639513,0.16032201051712036,5.8330254554748535,3.2216033935546875
Amikeus Beaver Dam (PM2),gamma,0.1124303936958313,0.436635822057724,7.089095592498779,3.2216033935546875
Artist Palette,reinhard,0.33127671480178833,0.15774795413017273,4.986588001251221,1.0998436212539673
Artist Palette,drago,0.16634660959243774,0.10391499102115631,6.489392280578613,1.0998436212539673
Artist Palette,filmic,0.0,0.1158478707075119,6.235705852508545,1.0998436212539673
Artist Palette,gamma,0.995109498500824,0.18032626807689667,0.08656422048807144,1.0998436212539673
Balanced Rock,reinhard,0.26770225167274475,0.5541192293167114,5.442045211791992,2.9404473304748535
Balanced Rock,drago,0.005296108778566122,0.3625034689903259,6.249948501586914,2.9404473304748535
Balanced Rock,filmic,5.39077049666048e-08,0.4311564862728119,6.34413480758667,2.9404473304748535
Balanced Rock,gamma,0.8939692378044128,0.6362051367759705,1.5434221029281616,2.9404473304748535
Bandon Sunset (1),reinhard,0.15216787159442902,0.4211469888687134,6.445141315460205,2.3485395908355713
Bandon Sunset (1),drago,0.001140471431426704,0.24235212802886963,5.951676845550537,2.3485395908355713
Bandon Sunset (1),filmic,6.684555501124123e-06,0.269216388463974,6.528430938720703,2.3485395908355713
Bandon Sunset (1),gamma,0.5522294640541077,0.5415874123573303,4.381887912750244,2.3485395908355713
Bandon Sunset (2),reinhard,0.11076515913009644,0.3426673412322998,6.66168212890625,2.1810812950134277
Bandon Sunset (2),drago,0.0013456980232149363,0.1875101923942566,5.832577705383301,2.1810812950134277
Bandon Sunset (2),filmic,5.110450365464203e-05,0.19520187377929688,6.434866905212402,2.1810812950134277
Bandon Sunset (2),gamma,0.4736551344394684,0.48524001240730286,4.583545684814453,2.1810812950134277
Bar Harbor Presunrise,reinhard,0.08222881704568863,0.3176625669002533,7.147777557373047,2.401576519012451
Bar Harbor Presunrise,drago,0.0009148676763288677,0.17036953568458557,6.293441295623779,2.401576519012451
Bar Harbor Presunrise,filmic,2.398892775090644e-06,0.17033880949020386,6.805336952209473,2.401576519012451
Bar Harbor Presunrise,gamma,0.5380609631538391,0.49392637610435486,4.160405158996582,2.401576519012451
Bar Harbor Sunrise,reinhard,0.21629323065280914,0.5735452175140381,6.914145469665527,3.3340554237365723
Bar Harbor Sunrise,drago,0.007743733935058117,0.36373332142829895,6.558399200439453,3.3340554237365723
Bar Harbor Sunrise,filmic,0.00020759856852237135,0.4280491769313812,6.845119476318359,3.3340554237365723
Bar Harbor Sunrise,gamma,0.8128241300582886,0.6692020893096924,2.6679162979125977,3.3340554237365723
Ben&Jerry's,reinhard,0.22267119586467743,0.3264322280883789,5.846344470977783,2.0289528369903564
Ben&Jerry's,drago,0.0008364858804270625,0.2141684591770172,6.74632453918457,2.0289528369903564
Ben&Jerry's,filmic,1.2371818229439668e-05,0.25736936926841736,7.009150505065918,2.0289528369903564
Ben&Jerry's,gamma,0.9631851315498352,0.37040629982948303,0.7059543132781982,2.0289528369903564
Bigfoot Pass,reinhard,0.34481388330459595,0.19350413978099823,5.357267379760742,1.0085422992706299
Bigfoot Pass,drago,0.1617661863565445,0.1372271180152893,6.607183456420898,1.0085422992706299
Bigfoot Pass,filmic,0.0,0.16578924655914307,5.887965202331543,1.0085422992706299
Bigfoot Pass,gamma,0.9999553561210632,0.21822808682918549,0.0011766518000513315,1.0085422992706299
Blooming Gorse (1),reinhard,0.31023550033569336,0.2499416023492813,6.299087047576904,1.9548957347869873
Blooming Gorse (1),drago,0.03470287099480629,0.157671719789505,6.922772407531738,1.9548957347869873
Blooming Gorse (1),filmic,0.00024945789482444525,0.1801764816045761,6.754430770874023,1.9548957347869873
